name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,Dan The Automator,Bob Dylan,Vladimir Horowitz,Stevie Wonder,Franz Joseph Haydn,Snoop Dogg,St. Louis Symphony,Panic! At The Disco,Irina Salkow,Al Green,Cold,André Previn,Sonny Clark,Sugar Chile Robinson,Wink,Ted Hawkins,Kid Koala,Cher,Robert Schumann,Αντώνης Διαμαντίδης,"Crosby, Stills & Nash",Billy Talent,Mulatu Astatke,Eddie Cochran,Lata Mangeshkar,Merle Haggard & The Strangers,José Luis Perales,Jean Ritchie,Rage Against The Machine,Mindless Self Indulgence,John Prine,Paul Simon,The Miracles,Johnny Cash,Luther Henderson,Janis Joplin,Lennie Tristano,Benjamin Britten,Gabriela Robin,Unspecified,Jerome Kern,Elton John,Spice Girls,Martin Jones,Maroon 5,The Four Freshmen,Эрнест Хемингуэй,Dimitris Arapakis,Teddy Wilson,Francisco Canaro,Julie London,Merle Haggard,Pro Arte Quartet,Andy Griggs,George Harrison,Bat For Lashes,Kacey Musgraves,Gabriele Santini,Matthew West,Graciela Beltran,Gary Wright,Ignacio Corsini,Arun Kumar,Daz Dillinger,Claude Debussy,The Rolling Stones,James Brown,Mouthy Raw,Craig David,Big Brother & The Holding Company,Dyablo,Tex Beneke,Gal Costa,Shanta Apte,Ricardo Arjona,Red Hot Chili Peppers,Orchestra Sinfonica Di Torino Della Rai,Roger Voudouris,Crystal Gayle,Georgette Heyer,Eileen Farrell,Glenn Miller Orchestra,Billie Holiday,Ernesto Fama,Derek & The Dominos,Flo Rida,LMFAO,Sara Evans,George Jones,Dinah Washington,Lookas,Genesis,Maria Callas,Bob Luman,Fleetwood Mac,Charlo,NB Ridaz,Los Felinos,Boosie Badazz,Lead Belly,The Alan Parsons Project,Van Morrison,Lil Rob,Jaganmoy Mitra,Lil Jon,Webbie,Bebe & Cece Winans,Giuseppe Verdi,Sage The Gemini,Elvis Presley,Frankie Ballard,Luther Henderson Orchestra,Umm Kulthum,Deltron 3030,Maynard Ferguson,Henry Mancini,Del The Funky Homosapien,Adolescent's Orquesta,Muddy Waters,T.G. Sheppard,Antônio Carlos Jobim,Shamshad Begum,Toots & The Maytals
Ballad Of A Well-Known Gun,0.8178053830227744,0.5,0.2625309455679517,0.7710176991150443,0.472544500139934,0.7506818089306794,0.0,0.001210855949895616,0.18181818181818182,0.04159034586790217,0.7737136910409843,1.0,0.03492063492063492,0.6916880703293032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let's Think About Living,0.9979296066252588,0.6836734693877551,0.7468089894865448,0.6780973451327433,0.08021288166136889,0.7079415476045101,0.0,0.0,0.18181818181818182,0.2953345544661136,0.7105996143368737,1.0,0.07989417989417989,0.5053091524149596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,0.43685300207039335,0.8979591836734694,0.011148442272449603,0.6559734513274336,0.35853358301497407,0.6641836610086701,0.0,0.021294363256784972,0.7272727272727273,0.09600258592824039,0.8015977472376113,0.0,0.03851851851851852,0.705031426841237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
En la Tranquera - Remasterizado,0.8809523809523809,0.09183673469387756,0.9989952737678037,0.788716814159292,0.18421226276641495,0.0793544185289209,0.0,0.42588726513569936,0.0,0.04967137161943757,0.4187505739034618,1.0,0.3238095238095238,0.8321013176303536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irish Heartbeat,0.43788819875776397,0.6326530612244898,0.6463363662669196,0.45022123893805305,0.42664160748862895,0.5196808727154313,0.0,0.0004603340292275574,0.8181818181818182,0.10785475703049241,0.8940650730005204,1.0,0.026243386243386242,0.38864875023491835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunny,0.3281573498964803,0.45918367346938777,0.7206861074494422,0.5132743362831859,0.2217100158591832,0.29173281230919523,0.0,0.0,0.6363636363636364,0.011959918112272384,0.72351626825013,0.0,0.07608465608465609,0.6293929712460063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Suede Shoes,0.8975155279503105,0.41836734693877553,0.7910169437031797,0.5995575221238938,0.03470589975266955,0.8707615907518216,0.0,8.079331941544885e-05,0.8181818181818182,0.2964120245663182,0.8292063297725812,1.0,0.054814814814814816,0.48410386518824783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So Much I,0.4192546583850932,0.8673469387755102,0.11684564189949524,0.413716814159292,0.29782726914876917,1.0,0.0,1.5866388308977037e-06,0.36363636363636365,0.1347915095356104,1.0,1.0,0.17883597883597874,0.7786026018501119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chain Gang,0.8302277432712216,0.42857142857142855,0.5056746937594444,0.7643805309734513,0.15114233901336313,0.5013636178613587,0.0,0.0,0.8181818181818182,0.07445318392414613,0.7040800710109884,1.0,0.07259259259259258,0.7567186619056568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me Tengo Que Ir,0.8757763975155279,0.7653061224489796,0.25851204063916666,0.49889380530973454,0.4246757058701731,0.7934220702568486,0.0,0.0,0.18181818181818182,0.07768559422476026,0.9146031648862906,0.0,0.03830687830687831,0.5054970870137192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Last Cheater's Waltz,0.35507246376811596,0.5918367346938775,0.4222824164871556,0.5907079646017699,0.30935646301533815,0.295803313387878,0.0,0.024947807933194156,0.0,0.25546816075853895,0.5597012641180252,1.0,0.027407407407407408,0.5105034559084549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Merry Go Round,0.4078674948240166,0.47959183673469385,0.3921406295212681,0.4856194690265487,0.37822217873777286,0.40977734359099605,0.0,0.0,0.0,0.07984053442516971,0.721740993541673,1.0,0.050899470899470896,0.8457213556349056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betrayed (feat. Webbie),0.5496894409937889,0.9081632653061225,0.006396087194161335,0.9004424778761062,0.4518228959278077,0.8178450767289454,1.0,0.0,0.5454545454545454,0.026398017455015636,0.8653239876342934,1.0,0.07576719576719577,0.7725678130677192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nobody Knows You When You're Down And Out,0.3892339544513458,0.5,0.9115840915667299,0.504424778761062,0.46365471122406954,0.5156103716367485,0.0,0.44467640918580376,0.0,0.7414071759508674,0.7997306479752686,1.0,0.030052910052910057,0.43463008206477477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City Of Angels,0.34679089026915116,0.5510204081632653,0.7809696813812173,0.415929203539823,0.45036667250672935,0.5318923759514796,0.0,0.00031315240083507306,0.7272727272727273,0.11647451783213017,0.8459490067644089,1.0,0.029312169312169314,0.7765405416692769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
She's More,0.28364389233954457,0.7959183673469388,0.07504903064013117,0.7511061946902655,0.24161021904785743,0.5318923759514796,0.0,0.0,0.6363636363636364,0.07768559422476026,0.8166569740748677,1.0,0.028253968253968257,0.5170028607822255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dancing on a High Wire,0.5476190476190477,0.6428571428571429,0.3218097932675305,0.8727876106194691,0.38714154719187793,0.6255139007611837,0.0,1.1899791231732778e-06,0.18181818181818182,0.03491003124663291,0.7175170640629305,0.0,0.04380952380952381,0.6276284741798742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honey Hi - 2015 Remaster,0.8995859213250519,0.5918367346938775,0.7166672025206572,0.5951327433628317,0.16409817676276983,0.34566695160174216,0.0,0.0014822546972859082,0.18181818181818182,0.010235965951944835,0.5391325640476263,1.0,0.0364021164021164,0.6717147988055712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaon Raate Jodi,0.4202898550724638,0.2653061224489796,0.9989952737678037,0.29535398230088494,0.199168132370709,0.06236007652542029,0.0,0.9634655532359082,0.5454545454545454,0.05581295119060446,0.3994980257720914,1.0,0.04190476190476191,0.39951241412432914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snowfall (with The Glenn Miller Orchestra),0.16045548654244307,0.20408163265306123,0.8914895669228049,0.28207964601769914,0.17425988582298238,0.16045915252167545,0.0,0.5459290187891441,0.18181818181818182,0.10138993642926408,0.6542499464356769,0.0,0.0326984126984127,0.8674016997640374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When I Dream - 7"" Single Version",0.2391304347826087,0.5510204081632653,0.9517731408545799,0.5918141592920354,0.17684013169720564,0.08179671917613057,0.0,0.13569937369519833,0.09090909090909091,0.07660812412455555,0.5238896881025987,1.0,0.037142857142857144,0.5676773371755518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pretty Girl - Remix,0.6770186335403727,0.8163265306122449,0.127897630453654,0.9380530973451326,0.3909049745957274,0.6133023975251354,0.0,0.0,0.36363636363636365,0.025967029414933732,0.8297572770958955,0.0,0.22222222222222224,0.45945311031760955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
As Long As I'm In Your Arms,0.855072463768116,0.40816326530612246,0.4122351541651931,0.6758849557522123,0.055639111430671254,0.4576057312655188,0.0,0.00016805845511482257,0.6363636363636364,0.07768559422476026,0.7446359156438432,1.0,0.044444444444444446,0.6457171793104888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melody For C,0.7380952380952381,0.41836734693877553,0.759870430505096,0.7013274336283186,0.8464639937382393,0.3609313306468026,0.0,0.0007327766179539666,0.0,0.22960887835362573,0.65226041443482,1.0,0.04169312169312169,0.4322756791747583,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love Thing,0.7867494824016563,0.7653061224489796,0.025716972639295246,0.8849557522123894,0.2844777960058522,0.7506818089306794,0.0,0.0,0.18181818181818182,0.023596595194483358,0.8157387285360106,1.0,0.054920634920634925,0.5745526112468416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Morning in May - Another Version,0.0,0.3163265306122449,0.9467495096935986,0.0,0.0038817455568120537,0.02592909187120935,0.0,0.0,0.8181818181818182,0.1024674065294688,0.371644577760093,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Someplace Else - Remastered 2004,0.46894409937888204,0.673469387755102,0.7216908336816386,0.6725663716814159,0.317092649939817,0.4077420930516547,0.0,0.0,0.8181818181818182,0.21129188665014548,0.7721220654402987,1.0,0.02687830687830688,0.6697153834909895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dekho Sakhiyan Kaisi Chhai Badri,0.3923395445134576,0.1326530612244898,0.9246455325852811,0.4446902654867257,0.2283221803305172,0.27646843326413484,0.0,0.0,0.5454545454545454,0.08307294472578387,0.7536959382938999,0.0,0.040952380952380955,0.5832602476560379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Pescado Nadador,1.0,0.6020408163265306,0.5056746937594444,0.8440265486725663,0.21006705453784247,0.5451215044571988,0.0,0.0008173277661795407,0.36363636363636365,0.039543152677513196,0.7059165620887026,1.0,0.0780952380952381,0.6141232850967863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDFR (feat. Sage the Gemini & Lookas),0.7142857142857143,0.9591836734693877,0.0,0.7267699115044248,0.21988746123373978,0.836162331583018,0.0,0.005574112734864301,0.45454545454545453,0.018424738713500706,0.9349576076642895,1.0,0.07767195767195768,0.7615997410678862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Baby,0.9782608695652174,0.6224489795918368,0.4664903707037907,0.5851769911504425,0.2572964757117861,0.5125574958277365,0.0,0.0,0.0,0.26516539166038144,0.648771081387163,1.0,0.033756613756613756,0.7522604355906366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallen Leaves,0.9461697722567288,0.8673469387755102,0.0003476352763399029,0.7853982300884955,0.24039745797999057,0.8198803272682866,0.0,2.1711899791231732e-06,0.2727272727272727,0.021333907984053442,0.9336414557252609,1.0,0.04560846560846561,0.6423604585604209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haydn: String Quartet No. 51 in G Major, Op. 64 No. 4, Hob. III, 66: IV. Finale (Presto)",0.7805383022774327,0.14285714285714285,0.9326833424428512,0.5929203539823009,0.270279617650338,0.2500101762526967,0.0,0.14509394572025053,0.6363636363636364,0.2242215278526021,0.5904930978543663,1.0,0.07312169312169312,0.3781400739209422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Real Fine Place to Start,0.2153209109730849,0.8571428571428571,0.0007294312445744785,0.6471238938053097,0.33034883376982116,0.7974925713355314,0.0,0.0009081419624216076,0.7272727272727273,0.10031246632905937,0.9717486455878303,1.0,0.04338624338624339,0.6314237089937146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Send Me Some Lovin',0.8167701863354038,0.46938775510204084,0.013660257852940233,0.5210176991150443,0.13497370834120226,0.738470305694631,0.0,1.1064718162839248e-05,0.09090909090909091,0.15310850123909064,0.8375623641761808,1.0,0.0744973544973545,0.9840934243772055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
